feature,correlation,abs_correlation,p_value
reuna_d_over_at,0.07046591711313392,0.07046591711313392,4.730337317095306e-21
ibadj_over_seq,0.0702010902910935,0.0702010902910935,6.626157929861231e-21
ebit_over_ceq,0.07007103914269963,0.07007103914269963,7.815226453169075e-21
ib_over_ceq,0.07006948469843724,0.07006948469843724,7.830644881246839e-21
oiadp_over_ceq,0.06998443757198688,0.06998443757198688,8.721688309916953e-21
reuna_d_over_act,0.06995669103428594,0.06995669103428594,9.033537503693103e-21
ibc_over_ceq,0.06995523471540097,0.06995523471540097,9.050206499610404e-21
gp_over_xsga,0.06945367791207502,0.06945367791207502,1.7038002414870332e-20
caps_d_over_ppent,-0.06931796840993117,0.06931796840993117,2.0203501538969298e-20
ppent_over_emp,0.06929557791458751,0.06929557791458751,2.0778938808775752e-20
oancf_over_xsga,0.06924057642167462,0.06924057642167462,2.2262179085649945e-20
fincf_over_lt,-0.06923681687472702,0.06923681687472702,2.2367302656871347e-20
oibdp_over_xsga,0.06915961678090105,0.06915961678090105,2.463778074332619e-20
ebitda_over_xsga,0.06915961678090105,0.06915961678090105,2.463778074332619e-20
re_d_over_at,0.06915921822431587,0.06915921822431587,2.465007443022642e-20
sstk_over_lt,-0.06913268641026629,0.06913268641026629,2.5482247429480484e-20
che_over_icapt,-0.06909417814163141,0.06909417814163141,2.6739695601206612e-20
sstk_over_seq,-0.06882918733378521,0.06882918733378521,3.7221559785407474e-20
dpvieb_d_over_mktcap,0.06870637585681255,0.06870637585681255,4.336902745409861e-20
che_over_lct,-0.06866014353131246,0.06866014353131246,4.593460781467548e-20
reuna_over_at,0.06861153389805953,0.06861153389805953,4.879394605281561e-20
reuna_over_lct,0.06842065047113913,0.06842065047113913,6.182644624639295e-20
dilavx_over_ceq,0.06839768634448376,0.06839768634448376,6.360972809471936e-20
xopr_over_mktcap,0.06831165831985829,0.06831165831985829,7.075381374780125e-20
re_over_at,0.06829054841151525,0.06829054841151525,7.262468891568939e-20
re_over_lct,0.06824229163464822,0.06824229163464822,7.708707360443328e-20
caps_over_at,-0.06816776304838845,0.06816776304838845,8.451664782452525e-20
ibcom_over_ceq,0.06815768743787579,0.06815768743787579,8.557389387856366e-20
ceqt_over_mktcap,0.06812891773637819,0.06812891773637819,8.866521019314396e-20
ni_over_seq,0.06811271931842376,0.06811271931842376,9.045403190513315e-20
sstk_over_ceq,-0.06805562046024304,0.06805562046024304,9.704868458545682e-20
ibadj_over_ceq,0.06796978589755838,0.06796978589755838,1.0786594972301619e-19
revt_over_xsga,0.06794346162044089,0.06794346162044089,1.114161639962429e-19
sale_over_xsga,0.06794346162044089,0.06794346162044089,1.114161639962429e-19
icapt_over_ppent,-0.06771803092470334,0.06771803092470334,1.4694853393952061e-19
reuna_d_over_lt,0.0676904673987717,0.0676904673987717,1.5199777315230828e-19
pi_over_seq,0.06762522854931506,0.06762522854931506,1.6464182328018542e-19
ni_over_sale,0.06759268326326812,0.06759268326326812,1.713325446485665e-19
pi_over_act,0.06750550129524384,0.06750550129524384,1.9060823331957368e-19
pi_over_ceq,0.06749556761876113,0.06749556761876113,1.92936159591055e-19
niadj_over_seq,0.06743782627432782,0.06743782627432782,2.070345433609496e-19
reuna_d_over_icapt,0.06733270639856861,0.06733270639856861,2.3536280126795896e-19
niadj_over_sale,0.06698823619810923,0.06698823619810923,3.578048315309222e-19
ib_over_lt,0.06696412264797152,0.06696412264797152,3.684221103085369e-19
sstk_over_act,-0.06691425154269043,0.06691425154269043,3.91377795322481e-19
ibc_over_lt,0.06690417636299334,0.06690417636299334,3.961841375395065e-19
ni_over_cogs,0.06689317269396068,0.06689317269396068,4.0150004267141113e-19
cogs_over_mktcap,0.06682151781065818,0.06682151781065818,4.378818187417006e-19
invwip_over_mktcap,0.06667871790611135,0.06667871790611135,5.203707370351055e-19
at_over_ppent,-0.06659007348001676,0.06659007348001676,5.791126231743514e-19
lse_over_ppent,-0.06659007348001676,0.06659007348001676,5.791126231743514e-19
fopo_over_sale,-0.06658956556942595,0.06658956556942595,5.794673945133732e-19
re_d_over_lt,0.06649905163233502,0.06649905163233502,6.4624268263780895e-19
rect_over_act,0.06641957631409098,0.06641957631409098,7.111043846156787e-19
caps_d_over_at,-0.06630607544881723,0.06630607544881723,8.150226515926558e-19
act_over_sale,-0.06625472090950858,0.06625472090950858,8.668399707937861e-19
dpact_d_over_mktcap,0.06623798672549189,0.06623798672549189,8.844177232094311e-19
caps_d_over_lct,-0.06610947028510256,0.06610947028510256,1.0316733426668294e-18
ib_over_sale,0.0660897319723496,0.0660897319723496,1.0563392968916219e-18
niadj_over_cogs,0.06603825211478039,0.06603825211478039,1.1234447978460236e-18
dilavx_over_lt,0.06601427903270443,0.06601427903270443,1.1561145134595043e-18
ibc_over_sale,0.06593779888595556,0.06593779888595556,1.266738330605994e-18
ppegt_over_ceq,0.0659273560248243,0.0659273560248243,1.2826325836828424e-18
caps_d_over_icapt,-0.06590372377553211,0.06590372377553211,1.3193321039358853e-18
caps_d_over_lt,-0.06589990029130757,0.06589990029130757,1.325366424916536e-18
dilavx_over_sale,0.0658585103592843,0.0658585103592843,1.3924590909420658e-18
ppeveb_over_ceq,0.0658110959400156,0.0658110959400156,1.4734461063258672e-18
gp_over_emp,0.06577904538503676,0.06577904538503676,1.530807551118338e-18
ibadj_over_sale,0.06577464200260397,0.06577464200260397,1.5388587183600052e-18
ibadj_over_lt,0.06575985294486365,0.06575985294486365,1.5662063606744656e-18
xopr_over_sale,-0.06572280311347453,0.06572280311347453,1.6368431385627295e-18
che_over_ppent,-0.06571358030036187,0.06571358030036187,1.6549101902705478e-18
ppegt_over_act,0.06571191608300676,0.06571191608300676,1.658191220140894e-18
reuna_over_lt,0.06570470640993475,0.06570470640993475,1.6724795445208743e-18
re_d_over_icapt,0.06565144450437223,0.06565144450437223,1.7818695519177792e-18
ni_over_ceq,0.06564826353477028,0.06564826353477028,1.7886217199535223e-18
ibcom_over_sale,0.06563856411407772,0.06563856411407772,1.809366798871096e-18
caps_over_sale,-0.06557096909064716,0.06557096909064716,1.9606850463838656e-18
ppent_over_ceq,0.06556770015456653,0.06556770015456653,1.9683114409546864e-18
ni_over_lt,0.06554538695780429,0.06554538695780429,2.0211559270484446e-18
ibcom_over_lt,0.06552960521072014,0.06552960521072014,2.0593752738904115e-18
pi_over_sale,0.06552888021656707,0.06552888021656707,2.0611480635587067e-18
oibdp_over_sale,0.06550497971412832,0.06550497971412832,2.1204418813020342e-18
ebitda_over_sale,0.06550497971412832,0.06550497971412832,2.1204418813020342e-18
dpvieb_over_act,0.06546626335920466,0.06546626335920466,2.220084783722688e-18
ppeveb_over_act,0.06541657346339619,0.06541657346339619,2.3547691026873923e-18
dpvieb_over_at,0.06541390535345204,0.06541390535345204,2.3622249146542173e-18
oancf_over_sale,0.06532647305166664,0.06532647305166664,2.619873954097986e-18
re_over_lt,0.06532643378295369,0.06532643378295369,2.6199956884280887e-18
ib_over_ppent,0.06525793074283469,0.06525793074283469,2.841087631217973e-18
ibc_over_ppent,0.06523992997961064,0.06523992997961064,2.902177898628025e-18
ib_over_cogs,0.06521081544513484,0.06521081544513484,3.003741683108459e-18
caps_over_lt,-0.06519503050635816,0.06519503050635816,3.0602649472188213e-18
wcap_over_sale,-0.06514983200645219,0.06514983200645219,3.2279862779195303e-18
xrent_over_sale,-0.06513430263552221,0.06513430263552221,3.2876814172892445e-18
