ticker,form_year,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_years_used,years_range,mkt_rf,smb,hml,actual_excess_return,expected_return,prediction_error
GOLF,2024.0,0.2736970831867557,-1.190008454061051,1.6410183039765718,-0.3990082691314135,0.2262750277538076,14,2007-2024,17.32,-13.89,4.389999999999999,0.0799152487272332,-0.1778662864938332,0.2577815352210664
SMPL,2024.0,0.4554880427521642,-1.7990828889357364,2.731290787775168,-1.3383767511097004,0.5331242640774438,7,2018-2024,17.32,-13.89,4.389999999999999,0.03190062100527363,-0.294244143407192,0.32614476441246565
HONE,2024.0,0.0017691274088675601,0.12098112440334592,0.36122981031745105,-1.4264520122556277,0.7061336756322719,8,2017-2024,17.32,-13.89,4.389999999999999,0.03676708977227447,-0.09007300583558892,0.12684009560786338
AA,2024.0,0.4143512311802831,-1.5731842669524159,2.710192167666569,-2.8305020578102846,0.3577251634033991,8,2017-2024,17.32,-13.89,4.389999999999999,-0.09192384402393339,-0.35882901628263314,0.26690517225869975
BVS,2024.0,0.18498419265491495,3.3080976235673143,-0.5757131292632789,-1.3396026103498688,1.0,3,2022-2024,17.32,-13.89,4.389999999999999,0.7791047001170842,0.779104700117084,2.220446049250313e-16
YETI,2024.0,0.2884841068833355,-1.587350918033365,0.06128743280823623,-2.3524828269115163,0.8379369828718923,6,2019-2024,17.32,-13.89,4.389999999999999,-0.0375448616798092,-0.09823189263852289,0.06068703095871369
FHB,2024.0,0.004122720073288878,0.040025955187406044,-0.27575162668877434,-1.1609168206187321,0.4283204520124083,8,2017-2024,17.32,-13.89,4.389999999999999,0.2282751262099474,-0.0016071319663439679,0.22988225817629135
PTGX,2024.0,1.6330373751199723,-8.071469844197772,2.4624283940694545,-0.7997788187454052,0.8715778851822632,8,2017-2024,17.32,-13.89,4.389999999999999,0.06701612840981894,-0.1420827959742521,0.20909892438407104
ENTO,2024.0,0.5659417384770987,-6.3817750348525,1.1148182035215055,3.4828752900235336,1.0,4,2018-2024,17.32,-13.89,4.389999999999999,-0.541331720796458,-0.5413317207964583,3.3306690738754696e-16
AIRG,2024.0,0.14302673070277677,-1.2756656150119217,0.5911356929711862,-2.231747148099524,0.6576399440818512,8,2017-2024,17.32,-13.89,4.389999999999999,0.12189303261913824,-0.2580010013725549,0.37989403399169314
MDGL,2024.0,0.19847743640468438,-1.078462844551803,-1.7945581269563788,2.9660660221636013,0.4925170248840205,15,2008-2024,17.32,-13.89,4.389999999999999,0.0544262213466659,0.39116209393553514,-0.3367358725888692
PRTH,2024.0,0.0973732424077001,0.3509537299560815,-3.000715914862879,-2.386283279471895,0.32938834214487145,7,2018-2024,17.32,-13.89,4.389999999999999,1.178394424000836,0.4702000330417311,0.7081943909591049
ATOM,2024.0,-0.3547334742910442,4.151000093784825,-8.778500109974162,-1.2689552824746206,0.5759567476780696,8,2017-2024,17.32,-13.89,4.389999999999999,1.9976398080227413,1.5278462703272628,0.4697935376954785
RCKY,2024.0,0.24659269317184762,-0.6590845929070407,2.7541796231997324,-2.151194447597133,0.2484308482300316,22,2003-2024,17.32,-13.89,4.389999999999999,-0.42288332395687067,-0.3445537442316087,-0.07832957972526194
EXE,2024.0,-0.08181653758036586,0.7585805306096569,-0.7500283378833772,0.6134189093553221,1.0,3,2022-2024,17.32,-13.89,4.389999999999999,0.1806776365739265,0.1806776365739264,8.326672684688674e-17
SGA,2024.0,0.4488385624979334,-3.8269171591633886,5.557497472585598,-0.037031753215595486,0.43675214415020935,22,2003-2024,17.32,-13.89,4.389999999999999,-0.3203902782414034,-0.9875455823774696,0.6671553041360662
WOLF,2024.0,0.11112642120098404,-0.7071216179617396,2.119908335329079,-1.186893277829022,0.1386383219654893,28,2003-2024,17.32,-13.89,4.389999999999999,-0.754362782960777,-0.3579069257038923,-0.39645585725688465
DFIN,2024.0,0.8688285034944054,-4.10219903368073,2.686315021684273,-3.502572073739808,0.4256434403458318,8,2017-2024,17.32,-13.89,4.389999999999999,0.005182527571485407,-0.36856443968821995,0.37374696725970535
AORT,2024.0,0.07540786330459712,0.3837493974585625,0.15433482235405177,-0.024020612934059153,0.02001212956924281,22,2003-2024,17.32,-13.89,4.389999999999999,0.0676400389381188,0.11938164721163717,-0.05174160827351837
UEIC,2024.0,0.09093339524100981,-0.15502463309403888,0.21712651888470358,-0.41461699763477994,0.014901296532025543,22,2003-2024,17.32,-13.89,4.389999999999999,-0.10033773423623193,0.015722569119870126,-0.11606030335610207
AMR,2024.0,4.473182604135399,-12.389385900449541,27.86173180262091,-7.24313451934942,0.6277348176508174,6,2019-2024,17.32,-13.89,4.389999999999999,-0.33361713788886593,-1.860627186605945,1.527010048717079
EVBG,2024.0,0.459286930417861,-1.8798817772913836,1.2055207477592578,-1.0336838267688997,0.18991583808570311,8,2017-2024,17.32,-13.89,4.389999999999999,-0.04669516634005332,-0.0791341452679222,0.03243897892786888
TTD,2024.0,1.1745884006174347,-4.238836012275797,2.8190988949304234,-1.2630398036681334,0.6163928713900108,8,2017-2024,17.32,-13.89,4.389999999999999,0.15635732043011252,-0.0065982805956001575,0.1629556010257127
ELF,2024.0,1.2749568713875954,-6.1590949972229,2.6371431972408095,1.9573210039860827,0.6883561451078402,7,2017-2024,17.32,-13.89,4.389999999999999,-0.4511663494054286,-0.0721711801531704,-0.3789951692522582
INTU,2024.0,0.17141573396199516,-0.0025863652323579755,0.14827041441022065,-0.40930962890808703,0.054575330998756444,22,2003-2024,17.32,-13.89,4.389999999999999,-0.08770522375985729,0.13240432223310608,-0.22010954599296337
SCVL,2024.0,0.2111339290790923,-0.7116418625948246,1.2321816511178016,-1.4260264454445937,0.24594329354709332,22,2003-2024,17.32,-13.89,4.389999999999999,-0.14386673738535116,-0.14587503381761163,0.00200829643226047
TENX,2024.0,-1.10404718124454,4.4491548380863035,-6.938258388397027,1.26337736715702,0.6208604923507416,11,2011-2024,17.32,-13.89,4.389999999999999,1.0062238137307442,0.6857327932785479,0.32049102045219635
ALG,2024.0,0.28963328900440977,-1.2708411204848942,0.9745263020724875,0.06875909379968645,0.25277042603314814,22,2003-2024,17.32,-13.89,4.389999999999999,0.03074149752009399,-0.06281957220363618,0.09356106972373017
MCHP,2024.0,0.18445038052956575,-0.7107193532209441,-0.048512317320953,0.2422005138658266,0.1709025949029208,22,2003-2024,17.32,-13.89,4.389999999999999,-0.41253629516855594,0.07872475198628837,-0.4912610471548443
FLGT,2024.0,1.2613114863253343,-4.932962546228719,2.87501523878663,-7.5264543035270055,0.6295019968876422,7,2018-2024,17.32,-13.89,4.389999999999999,-0.10559366353716007,-0.3228285872737781,0.21723492373661804
ASIX,2024.0,0.2225873910172761,-0.9581783802413217,1.0487784144032017,-1.3140309675536737,0.14341542927993234,8,2017-2024,17.32,-13.89,4.389999999999999,0.20892447795112806,-0.1467303856767318,0.35565486362785986
DZSI,2024.0,0.06422014318477653,-2.2095116506071513,3.505123376899217,-2.063451889720726,0.34332296936312656,16,2004-2024,17.32,-13.89,4.389999999999999,-0.7042456307830532,-0.8959144497104231,0.19166881892736987
MRAM,2024.0,0.04171301561769175,-1.0508370106145262,-1.148893671467423,0.8429161352425543,0.7033174924751938,8,2017-2024,17.32,-13.89,4.389999999999999,0.019797767702015814,0.05629339468322898,-0.03649562698121316
FOSL,2024.0,0.18432156489880583,-0.7521830401607017,2.58412267275085,-0.9637826978427265,0.07001006830766987,22,2003-2024,17.32,-13.89,4.389999999999999,0.11274073112696846,-0.3472012373374164,0.4599419684643849
SANM,2024.0,-0.02277390909483583,0.386848184820644,-1.6021759175025623,-0.04750993266759718,0.07502102555271073,21,2003-2024,17.32,-13.89,4.389999999999999,0.09520809631440287,0.26468474541309805,-0.1694766490986952
ATR,2024.0,0.13393999641800935,-0.18920583878816663,0.357383299129844,-0.07367339047936738,0.0357579408963794,22,2003-2024,17.32,-13.89,4.389999999999999,0.07512234721079868,0.048294743048719335,0.02682760416207934
