strategy,n_years,first_year,last_year,avg_long_return,avg_short_return,avg_spread,avg_long_return_pct,avg_short_return_pct,avg_spread_pct,total_capital,avg_annual_pnl,total_pnl,total_return,total_return_pct,avg_portfolio_return,avg_annual_return_pct,spread_volatility,annualized_volatility_pct,sharpe_ratio_spread,sharpe_ratio_dollar,cagr,cagr_pct,max_drawdown,max_drawdown_pct,win_rate,win_rate_pct,positive_years,total_years,avg_stocks_long,avg_stocks_short,model,model_id,avg_long_stopped_out,avg_long_stopped_pct,avg_short_stopped_out,avg_short_stopped_pct,avg_stopped_out,avg_stopped_pct,avg_long_months_held,avg_short_months_held
Hybrid 10%/100,12,2013,2024,0.10346440332052947,0.0003574572680815705,0.10310694605244791,10.346440332052948,0.03574572680815705,10.310694605244791,1000000,74473.3134689996,1211592.561022129,1.2115925610221288,121.15925610221288,0.07447331346899959,7.447331346899959,0.6388623485032815,12.99826543305477,0.161391489565797,0.5729480895167205,0.06837920600561409,6.837920600561409,-0.01773336592403284,-1.773336592403284,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,LSTM,lstm,,,,,,,,
Hybrid 10%/100 (50% L/S),12,2013,2024,0.10346440332052947,0.0003574572680815705,0.10310694605244791,10.346440332052948,0.03574572680815705,10.310694605244791,1000000,51910.93029430553,785854.211948192,0.7858542119481919,78.58542119481919,0.051910930294305525,5.191093029430553,0.6388623485032815,7.5917865772261655,0.161391489565797,0.6837775241209741,0.049511415782440116,4.951141578244012,-0.009663340310276936,-0.9663340310276936,0.75,75.0,9,12,281.1666666666667,100.0,LSTM,lstm,,,,,,,,
Annual Stop Loss,12,2013,2024,0.11858592610590653,0.18651480445056276,-0.06792887834465618,11.858592610590653,18.651480445056276,-6.792887834465618,1000000,152550.36527823465,4290371.673961556,4.290371673961555,429.03716739615555,0.15255036527823468,15.255036527823467,0.44748718447707075,10.031390206411722,-0.15180072346437634,1.520730049766479,0.14892192013003558,14.892192013003559,0.0,0.0,1.0,100.0,12,12,281.1666666666667,100.0,LSTM,lstm,22.583333333333332,7.938685215567236,15.75,15.75,38.33333333333333,10.056843025797987,,
Monthly Stop Loss,12,2013,2024,0.12073677102350945,0.17375601297512763,-0.0530192419516182,12.073677102350945,17.375601297512762,-5.301924195161821,1000000,147246.39199931853,3688525.4235274643,3.688525423527464,368.8525423527464,0.14724639199931855,14.724639199931854,0.6116901528553208,16.72856417074279,-0.08667663146795582,0.8802093861518807,0.13741693351973727,13.741693351973726,0.0,0.0,1.0,100.0,12,12,281.1666666666667,100.0,LSTM,lstm,36.75,12.975800684621644,34.333333333333336,34.333333333333336,71.08333333333334,18.648885002186272,11.309891243193851,9.976666666666667
Fixed 100/100,12,2013,2024,0.09076762902891673,-0.06925626613051017,0.16002389515942692,9.076762902891673,-6.925626613051017,16.002389515942692,1000000,10755.681449203292,81381.00475369557,0.08138100475369558,8.138100475369558,0.010755681449203289,1.075568144920329,0.505308725456308,9.017181338347747,0.31668539864400885,0.11927986191718415,0.006541211920609635,0.6541211920609635,-0.24609395247556823,-24.609395247556822,0.6666666666666666,66.66666666666666,8,12,100.0,100.0,ElasticNet,elasticnet,,,,,,,,
Decile 10%/10%,12,2013,2024,0.08113194496495763,-0.08507078825618869,0.16620273322114634,8.113194496495762,-8.50707882561887,16.620273322114635,1000000,-1969.4216456155325,-30745.476333032362,-0.030745476333032373,-3.0745476333032373,-0.0019694216456155327,-0.19694216456155328,0.4957550491258258,3.678019551756135,0.3352517206112469,-0.05354570898556528,-0.002598953129887671,-0.2598953129887671,-0.10145888471197285,-10.145888471197285,0.5,50.0,6,12,281.1666666666667,281.1666666666667,ElasticNet,elasticnet,,,,,,,,
Hybrid 10%/100,12,2013,2024,0.08113194496495763,-0.06925626613051017,0.1503882110954678,8.113194496495762,-6.925626613051017,15.03882110954678,1000000,39906.873092218244,548346.9093603387,0.5483469093603388,54.83469093603388,0.03990687309221825,3.990687309221825,0.5511780117257652,8.04634038216073,0.27284871293140844,0.49596302414317983,0.037104111448658994,3.7104111448658994,-0.07679079923669396,-7.679079923669397,0.5833333333333334,58.333333333333336,7,12,281.1666666666667,100.0,ElasticNet,elasticnet,,,,,,,,
Hybrid 10%/100 (50% L/S),12,2013,2024,0.08113194496495763,-0.06925626613051017,0.1503882110954678,8.113194496495762,-6.925626613051017,15.03882110954678,1000000,5937.839417223727,47498.03154559992,0.04749803154559995,4.749803154559995,0.005937839417223727,0.5937839417223727,0.5511780117257652,6.457987001981325,0.27284871293140844,0.09194566999595981,0.003874527785825199,0.3874527785825199,-0.17521081942791059,-17.52108194279106,0.6666666666666666,66.66666666666666,8,12,281.1666666666667,100.0,ElasticNet,elasticnet,,,,,,,,
Annual Stop Loss,12,2013,2024,0.10040168098006218,0.0403304311238444,0.06007124985621779,10.040168098006218,4.03304311238444,6.007124985621779,1000000,70366.05605195329,1250627.8166388776,1.2506278166388776,125.06278166388776,0.0703660560519533,7.03660560519533,0.40535126985680814,3.193147365296796,0.14819553884076442,2.203658271982475,0.06993806887502108,6.9938068875021075,0.0,0.0,1.0,100.0,12,12,281.1666666666667,100.0,ElasticNet,elasticnet,28.666666666666668,9.993299490879886,15.5,15.5,44.16666666666667,11.587232181897683,,
Monthly Stop Loss,12,2013,2024,0.09903668380464349,0.020882703431802666,0.07815398037284083,9.90366838046435,2.0882703431802665,7.8153980372840826,1000000,59959.69361822307,903083.9351354479,0.9030839351354478,90.30839351354479,0.059959693618223085,5.995969361822309,0.5322608975887018,11.342339514753357,0.14683396944412283,0.5286360326300541,0.055086732560994056,5.508673256099406,-0.08017025205511273,-8.017025205511272,0.9166666666666666,91.66666666666666,11,12,281.1666666666667,100.0,ElasticNet,elasticnet,45.166666666666664,15.814812819654327,24.5,24.5,69.66666666666666,18.27721906427634,11.164035674117839,10.744166666666667
Fixed 100/100,19,2006,2024,0.0846741313248261,-0.04760087881876288,0.13227501014358894,8.46741313248261,-4.760087881876288,13.227501014358895,1000000,18536.626253031605,355768.64868515846,0.35576864868515856,35.576864868515855,0.018536626253031607,1.8536626253031607,0.4862004806846095,7.315902036611803,0.27205857542003054,0.25337444597079967,0.016148396456061365,1.6148396456061365,-0.1760692237403799,-17.60692237403799,0.47368421052631576,47.368421052631575,9,19,100.0,100.0,GP Symbolic,gp_symbolic,,,,,,,,
Decile 10%/10%,19,2006,2024,0.09008362713494045,-0.07131107568213095,0.1613947028170714,9.008362713494044,-7.131107568213095,16.13947028170714,1000000,9386.275726404749,174489.12768640043,0.17448912768640046,17.448912768640046,0.009386275726404755,0.9386275726404756,0.5020933210810641,4.394896274077252,0.3214436361542716,0.21357217875126047,0.008500837494392233,0.8500837494392233,-0.12799741845474621,-12.799741845474621,0.5789473684210527,57.89473684210527,11,19,291.7368421052632,291.7368421052632,GP Symbolic,gp_symbolic,,,,,,,,
Hybrid 10%/100,19,2006,2024,0.09008362713494045,-0.04760087881876288,0.13768450595370332,9.008362713494044,-4.760087881876288,13.768450595370332,1000000,52636.88669529757,1301236.439091709,1.301236439091709,130.1236439091709,0.052636886695297584,5.263688669529758,0.48161141173825905,13.554309842954506,0.2858829807557189,0.3883405891201321,0.04484192753481664,4.484192753481664,-0.2570627573169807,-25.70627573169807,0.631578947368421,63.1578947368421,12,19,291.7368421052632,100.0,GP Symbolic,gp_symbolic,,,,,,,,
Hybrid 10%/100 (50% L/S),19,2006,2024,0.09008362713494045,-0.04760087881876288,0.13768450595370332,9.008362713494044,-4.760087881876288,13.768450595370332,1000000,21241.374158088787,455414.76001165225,0.45541476001165226,45.54147600116523,0.021241374158088782,2.124137415808878,0.48161141173825905,5.380880205628696,0.2858829807557189,0.39475649608161023,0.019948518130719295,1.9948518130719295,-0.06582391673334459,-6.582391673334459,0.5263157894736842,52.63157894736842,10,19,291.7368421052632,100.0,GP Symbolic,gp_symbolic,,,,,,,,
Annual Stop Loss,19,2006,2024,0.11187909029341625,0.027321821980521226,0.08455726831289503,11.187909029341625,2.7321821980521226,8.455726831289503,1000000,69600.45613696873,2469798.4573275414,2.4697984573275416,246.97984573275414,0.06960045613696875,6.960045613696875,0.4041681101010917,6.871518051868793,0.20921311256285244,1.012883261189135,0.06767006373964124,6.767006373964124,-0.004230172963942966,-0.42301729639429664,0.9473684210526315,94.73684210526315,18,19,291.7368421052632,100.0,GP Symbolic,gp_symbolic,34.0,11.463207008052246,12.578947368421053,12.578947368421053,46.578947368421055,11.89036678758565,,
Monthly Stop Loss,19,2006,2024,0.10383671129810686,-0.022337562052924375,0.12617427335103124,10.383671129810686,-2.2337562052924373,12.617427335103123,1000000,40749.574622591244,896604.9416082508,0.8966049416082509,89.6604941608251,0.04074957462259124,4.074957462259124,0.47203026184095953,12.511391447675067,0.26730123797347327,0.32569978161912233,0.03426150822608931,3.426150822608931,-0.20185953787066538,-20.185953787066538,0.8421052631578947,84.21052631578947,16,19,291.7368421052632,100.0,GP Symbolic,gp_symbolic,54.473684210526315,18.35594523542976,21.0,21.0,75.47368421052632,19.266424828698103,10.933668568057845,10.998947368421051
