feature,ranking
ebit_d_over_invt,21
ebit_d_over_dltt,21
ebitda_over_invt,2
ebitda_over_dltt,21
ebitda_over_dltt_pd,21
ebitda_over_icapt_d,4
ebitda_over_cogs,21
ebitda_over_emp,21
ebitda_over_mktcap_pd,21
ebitda_pd_minus_pd_act,21
ebitda_pd_minus_pd_ppent,21
ebitda_pd_minus_pd_lct,21
ebitda_pd_minus_pd_seq,21
ebitda_pd_minus_pd_icapt,21
ebitda_pd_minus_pd_sale,21
esopct_over_act_d,21
esopct_over_invt,21
esopct_over_invt_d,21
esopct_over_ppent_d,21
esopct_over_lt_d,19
esopct_over_lct_d,17
esopct_over_dltt_d,14
esopct_over_seq_d,14
esopct_over_cogs_d,14
esopct_over_xsga,7
esopct_over_mktcap_d,7
esopct_d_over_xsga,2
esopnr_over_act,9
esopnr_over_invt_d,9
esopnr_over_ppent_d,9
esopnr_over_lct_d,14
esopnr_over_dltt_d,14
esopnr_over_ceq,22
esopnr_over_seq_d,22
esopnr_over_icapt,22
esopnr_over_icapt_d,22
esopnr_over_sale,22
esopnr_over_cogs_d,22
esopnr_over_xsga_d,22
esopnr_over_emp,22
esopnr_over_emp_d,22
esopnr_over_mktcap_d,22
esopnr_d_over_invt,22
esopnr_d_over_dltt,22
esopnr_d_over_sale,22
esopr_over_at_d,22
esopr_over_invt,22
esopr_over_ppent_d,22
esopr_over_lt_d,22
esopr_over_lct_d,22
esopr_over_dltt,22
esopr_over_dltt_d,22
esopr_over_cogs_d,22
esopr_over_xsga,22
esopr_over_mktcap,22
esopr_d_over_at,22
esopr_d_over_invt,22
esopr_d_over_dltt,22
esopt_over_at_d,14
esopt_over_act,14
esopt_over_ppent,14
esopt_over_lt,22
esopt_over_lt_d,22
esopt_over_lct_d,22
esopt_over_dltt,22
esopt_over_dltt_d,22
esopt_over_ceq,22
esopt_over_icapt,22
esopt_over_sale,22
esopt_over_emp,22
esopt_over_emp_d,22
esopt_d_over_dltt,22
esub_over_invt_d,22
esub_over_lct_d,2
esub_over_dltt_d,22
esub_over_seq_d,22
esub_over_cogs_d,22
esub_over_emp,22
esub_over_mktcap_d,22
esub_d_over_dltt,22
esubc_over_invt_d,22
esubc_over_ppent_d,6
esubc_over_dltt_d,22
esubc_over_emp,14
esubc_over_mktcap_d,22
exre_over_invt,22
exre_over_invt_d,22
exre_over_dltt,22
exre_over_dltt_d,5
exre_over_seq_d,22
exre_d_over_dltt,22
fatb_over_at_d,23
fatb_over_act_d,23
fatb_over_invt,23
fatb_over_invt_d,23
fatb_over_ppent_d,23
fatb_over_lt_d,23
fatb_over_lct_d,23
fatb_over_dltt,23
fatb_over_dltt_d,23
fatb_over_ceq_d,23
fatb_over_icapt_d,23
fatb_over_sale_d,23
fatb_over_xsga_d,5
fatb_over_emp_d,23
fatb_over_mktcap_d,23
fatb_d_over_invt,4
fatb_d_over_dltt,23
fatc_over_act_d,23
fatc_over_invt,23
fatc_over_invt_d,23
fatc_over_lt_d,23
fatc_over_dltt,4
fatc_over_dltt_d,23
fatc_over_ceq_d,23
fatc_over_xsga_d,23
fatc_over_mktcap,23
fatc_over_mktcap_d,23
fatc_d_over_ceq,23
fate,23
fate_pd,23
fate_over_act_pd,23
fate_over_invt,5
fate_over_ppent,22
fate_over_ppent_d,22
