feature,ranking
ebitda_pd_minus_pd_lct,15
ebitda_pd_minus_pd_seq,15
ebitda_pd_minus_pd_icapt,15
ebitda_pd_minus_pd_sale,15
esopct_over_act_d,15
esopct_over_invt,15
esopct_over_invt_d,14
esopct_over_ppent_d,15
esopct_over_lt_d,13
esopct_over_lct_d,11
esopct_over_dltt_d,11
esopct_over_seq_d,11
esopct_over_cogs_d,11
esopnr_over_act,11
esopnr_over_invt_d,11
esopnr_over_ppent_d,11
esopnr_over_lct_d,8
esopnr_over_dltt_d,11
esopnr_over_ceq,16
esopnr_over_seq_d,16
esopnr_over_icapt,16
esopnr_over_icapt_d,16
esopnr_over_sale,16
esopnr_over_cogs_d,16
esopnr_over_xsga_d,16
esopnr_over_emp,16
esopnr_over_emp_d,16
esopnr_over_mktcap_d,16
esopnr_d_over_invt,16
esopnr_d_over_dltt,16
esopnr_d_over_sale,16
esopr_over_at_d,16
esopr_over_invt,16
esopr_over_ppent_d,16
esopr_over_lt_d,16
esopr_over_lct_d,16
esopr_over_dltt,16
esopr_over_dltt_d,16
esopr_over_cogs_d,16
esopr_over_xsga,16
esopr_over_mktcap,16
esopr_d_over_at,16
esopr_d_over_invt,16
esopr_d_over_dltt,16
esopt_over_at_d,11
esopt_over_act,11
esopt_over_ppent,11
esopt_over_lt,16
esopt_over_lt_d,16
esopt_over_lct_d,16
esopt_over_dltt,16
esopt_over_dltt_d,16
esopt_over_ceq,16
esopt_over_icapt,16
esopt_over_sale,16
esopt_over_emp,16
esopt_over_emp_d,16
esopt_d_over_dltt,16
esub_over_invt_d,16
esub_over_dltt_d,16
esub_over_seq_d,16
esub_over_cogs_d,16
esub_over_emp,16
esub_over_mktcap_d,16
esub_d_over_dltt,16
esubc_over_invt_d,16
esubc_over_dltt_d,16
esubc_over_emp,11
esubc_over_mktcap_d,16
exre_over_invt,16
exre_over_invt_d,16
exre_over_dltt,16
exre_over_seq_d,16
exre_d_over_dltt,16
fatb_over_at_d,17
fatb_over_act_d,17
fatb_over_invt,17
fatb_over_invt_d,17
fatb_over_ppent_d,17
fatb_over_lt_d,17
fatb_over_lct_d,17
fatb_over_dltt,17
fatb_over_dltt_d,17
fatb_over_ceq_d,17
fatb_over_icapt_d,17
fatb_over_sale_d,17
fatb_over_emp_d,17
fatb_over_mktcap_d,17
fatb_d_over_dltt,17
fatc_over_act_d,17
fatc_over_invt,17
fatc_over_invt_d,17
fatc_over_lt_d,17
fatc_over_dltt_d,17
fatc_over_ceq_d,17
fatc_over_xsga_d,17
fatc_over_mktcap,17
fatc_over_mktcap_d,17
fatc_d_over_ceq,17
fate,17
fate_pd,17
fate_over_act_pd,17
fate_over_ppent,16
fate_over_ppent_d,16
fate_over_lt_d,16
fate_over_lct,16
fate_over_dltt,16
fate_over_seq,16
fate_over_seq_pd,16
fate_over_sale,16
fate_over_sale_pd,16
fate_over_emp,17
fate_over_emp_d,17
fate_over_mktcap_pd,17
fate_d_over_dltt,17
fate_d_over_sale,17
fate_d_over_xsga,17
fate_d_over_mktcap,17
fate_pd_minus_pd_dltt,17
fatl_over_invt,17
fatl_over_ppent_d,17
fatl_over_dltt,17
fatl_over_seq_d,17
fatl_over_icapt_d,17
fatl_over_sale,17
fatl_over_sale_pd,16
fatl_over_mktcap_pd,17
fatl_d_over_dltt,18
fatl_pd_minus_pd_lct,18
fatn_over_at_d,18
fatn_over_invt,18
fatn_over_invt_d,18
fatn_over_lt,18
fatn_over_lt_d,18
fatn_over_dltt,18
fatn_over_dltt_d,18
fatn_over_seq_d,18
fatn_over_icapt_d,18
fatn_over_xsga,18
fatn_over_mktcap_d,18
fatn_d_over_dltt,18
fato_over_at_d,18
fato_over_invt,18
fato_over_ppent_d,18
fato_over_lt_d,18
fato_over_lct_d,18
fato_over_dltt,18
fato_over_icapt_d,18
